"","Accession","HCC1806_Rep1","HCC1806_Rep2","HCC1806_Rep3","HCC1806_Rep4","MCF10A_Rep1","MCF10A_Rep2","MCF10A_Rep3","MCF10A_Rep4","MCF7_Rep1","MCF7_Rep2","MCF7_Rep3","MCF7_Rep4","MDAMB231_Rep1","MDAMB231_Rep2","MDAMB231_Rep3","MDAMB231_Rep4","Description","norm_hcc1806_rep1","norm_hcc1806_rep2","norm_hcc1806_rep3","norm_hcc1806_rep4","hcc1806_mean","hcc1806_sd","norm_mcf7_rep1","norm_mcf7_rep2","norm_mcf7_rep3","norm_mcf7_rep4","mcf7_mean","mcf7_sd","norm_mdam_rep1","norm_mdam_rep2","norm_mdam_rep3","norm_mdam_rep4","mdam_mean","mdam_sd","norm_mcf10a_rep1","norm_mcf10a_rep2","norm_mcf10a_rep3","norm_mcf10a_rep4","mcf10a_mean","mcf10a_sd","hcc1806_norm","mcf7_norm","mdam_norm","fc_mdamb_v_mcf7","fc_mdamb_v_hcc","fc_mdamb_v_mcf10","fc_mcf7_v_hcc","fc_mcf7_v_mcf10","fc_hcc_v_mcf10","MCF10A-HCC1806","MCF7-HCC1806","MDAMB231-HCC1806","MCF7-MCF10A","MDAMB231-MCF10A","MDAMB231-MCF7","p.t_mdam_mcf7","p.t_mdam_hcc","p.t_mdam_mcf10","p.t_mcf7_hcc","p.t_mcf7_mcf10","p.t_hcc_mcf10"
"1","P50995",24167.7,25012.1,25571.8,23164,10965,11786.5,12438.3,11593,12460.9,13025.5,12779,12350.7,18334.3,19818.4,21057.7,18766.2,"Annexin A11 OS=Homo sapiens OX=9606 GN=ANXA11 PE=1 SV=1",2.20407660738714,2.28108527131783,2.33212950296398,2.1125398996808,24478.9,1049.53006944378,1.13642498860009,1.18791609667123,1.16543547651619,1.12637482900137,12654.025,307.091597356011,1.67207478340173,1.80742362061104,1.92044687642499,1.71146374829001,19494.15,1214.49439274128,1,1.07492020063839,1.13436388508892,1.05727314181487,11695.7,606.676514572085,2.09298289114803,1.08193823370982,1.66677924365365,1.54054935089823,0.796365441257573,1.66677924365365,0.516936014281688,1.08193823370982,2.09298289114803,5.38614042255858e-10,1.36105393622188e-09,1.74285955623077e-05,0.437864222047565,1.40883887000953e-07,6.05717241364268e-07,"Up in MDAMB231","Up in HCC1806","Up in MDAMB231","Up in HCC1806","ns","Up in HCC1806"
"2","O60716",20879,23132.8,22758.9,20548.6,11750.8,11527.5,11999.5,11492.3,11280.4,12053.1,11224.5,11170.3,14083.7,13024.6,13437.6,14157.8,"Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=1 SV=1",1.77681519556115,1.96861490281513,1.93679579262688,1.74869796098989,21829.825,1304.67491321274,0.959968682983286,1.02572590802328,0.955211560063996,0.950599108145828,11432.075,416.449631808378,1.19853116383565,1.10840113013582,1.1435476733499,1.20483711747285,13675.925,541.450837257333,1,0.980997038499506,1.02116451645845,0.978001497770365,11692.525,234.48733263583,1.86698980759075,0.97772508504365,1.16962974207881,1.19627670392295,0.626478911305977,1.16962974207881,0.523690638839294,0.97772508504365,1.86698980759075,1.32810829001073e-09,9.91494886193323e-10,1.4405020620778e-08,0.958925413899701,0.0125106393430715,0.00530922262949152,"ns","Up in HCC1806","ns","Up in HCC1806","ns","Up in HCC1806"
"3","P61081",27021.3,22722.9,23618,23913.7,9207.8,9051.1,8956.1,9156.9,10924.9,11214,10876.1,10925.4,11615,9660.5,11497.2,12612.4,"NEDD8-conjugating enzyme Ubc12 OS=Homo sapiens OX=9606 GN=UBE2M PE=1 SV=1",2.9346097873542,2.46778817958687,2.56499923977497,2.59711331697039,24318.975,1871.33014969745,1.18648319902691,1.21788049262582,1.1811833445557,1.18653750081453,10985.1,154.341979599416,1.26143052629293,1.04916483850648,1.24863702513087,1.36975173222702,11346.275,1230.16277344369,1,0.982981819761506,0.972664480114685,0.994472078020808,9092.975,112.189523426507,2.67447947453941,1.20808646235143,1.24780668593062,1.03287862650317,0.466560576669041,1.24780668593062,0.451709005005351,1.20808646235143,2.67447947453941,1.38137834504448e-09,5.87240689409185e-09,7.91707033265254e-09,0.13400906739429,0.0628661628376813,0.967463302151846,"ns","Up in HCC1806","ns","Up in HCC1806","ns","Up in HCC1806"
"4","P15144",7079.9,5758.5,6057,8221.6,100648.5,75897,139195.1,96963.7,6127.4,6799,7231.1,7750.3,9347.1,6247.4,9460.4,11227.2,"Aminopeptidase N OS=Homo sapiens OX=9606 GN=ANPEP PE=1 SV=4",0.0703428267684069,0.057213967421273,0.0601797344222716,0.0816862645742361,6779.25,1115.69702727338,0.0608791983983865,0.0675519257614371,0.0718450846261991,0.0770036314500464,6976.95,687.038050862784,0.0928687461810161,0.0620714665394914,0.093994446017576,0.111548607281778,9070.525,2069.6036711973,1,0.754079792545343,1.3829823593993,0.963389419613805,103176.075,26372.3360950289,0.0657056396068565,0.0676217815031246,0.0879130651170826,1.30007023126151,1.33798355275289,0.0879130651170826,1.02916251797765,0.0676217815031246,0.0657056396068565,1.37453556769973e-06,0.999996414477469,0.994570864997827,1.40539902160342e-06,1.78201071343587e-06,0.995839382893601,"ns","ns","Up in MCF10A","ns","Up in MCF10A","Up in MCF10A"
"5","P37837",79326.4,73406.7,71329.2,87048.8,29855.7,30725.5,29201.2,31096.5,37202.3,42572.2,36924,42778.8,44452.3,40256.3,45461.7,39398.1,"Transaldolase OS=Homo sapiens OX=9606 GN=TALDO1 PE=1 SV=2",2.65699347193333,2.4587164260091,2.38913172359047,2.91565094772523,77777.775,7048.41731945311,1.24607026463958,1.42593206657355,1.23674876154302,1.43285201820758,39869.325,3243.37991132193,1.48890496622086,1.34836228927809,1.52271425556929,1.31961735949919,42392.1,3010.67798787361,1,1.02913346530143,0.978077887974491,1.04155990313407,30219.725,855.268014036148,2.57374198474672,1.31931461983853,1.40279569056303,1.06327609007677,0.545041305180047,1.40279569056303,0.512605625450201,1.31931461983853,2.57374198474672,9.35984978411852e-09,1.21953927179064e-07,2.64207240974201e-07,0.0300199175868393,0.00676714284535174,0.828398809840839,"ns","Up in HCC1806","Up in MDAMB231","Up in HCC1806","Up in MCF7","Up in HCC1806"
"6","Q9UKM9",20349.7,18513.7,21008.5,18523.3,8495,9594.4,9416.1,9047.6,12094.4,11925.5,12438.6,12298.2,14029.2,11970,13691.4,12228.5,"RNA-binding protein Raly OS=Homo sapiens OX=9606 GN=RALY PE=1 SV=1",2.39549146556798,2.17936433195998,2.47304296645085,2.18049440847557,19598.8,1276.093930712,1.4237080635668,1.40382577987051,1.46422601530312,1.44769864626251,12189.175,225.540896143767,1.65146556798117,1.40906415538552,1.61170100058858,1.43949381989406,12979.775,1031.46540538207,1,1.12941730429665,1.1084284873455,1.06505002942908,9138.275,485.544858037511,2.14469361011788,1.33385950849586,1.4203747424979,1.06486082938345,0.662273965753005,1.4203747424979,0.621934761311917,1.33385950849586,2.14469361011788,4.662176644743e-09,2.23727553927411e-07,7.78388319133683e-07,0.00152048760588219,0.000201656792714666,0.582604432333319,"ns","Up in HCC1806","Up in MDAMB231","Up in HCC1806","Up in MCF7","Up in HCC1806"
"7","Q13451",2809.6,2534,2549,2796.4,12117.5,9534.2,15591.8,14133.2,2926.5,2908.4,2994.5,3516.5,3964,4488.3,3754.9,3520.3,"Peptidyl-prolyl cis-trans isomerase FKBP5 OS=Homo sapiens OX=9606 GN=FKBP5 PE=1 SV=2",0.231863008046214,0.209119042706829,0.210356921807303,0.230773674437797,2672.25,151.197299358597,0.241510212502579,0.240016505054673,0.247121931091397,0.29020012378791,3086.475,289.069546130339,0.327130183618733,0.370398184443986,0.309874148958118,0.290513719826697,3931.875,412.857896254874,1,0.786812461316278,1.28671755725191,1.16634619352177,12844.175,2626.46909033783,0.208051509731065,0.240301537467373,0.306121257301462,1.27390469710592,1.47137243895594,0.306121257301462,1.15500982318271,0.240301537467373,0.208051509731065,8.66720804348908e-07,0.970804043548605,0.562646650481729,1.36154369290153e-06,3.59714628561658e-06,0.808793402872805,"ns","ns","Up in MCF10A","ns","Up in MCF10A","Up in MCF10A"
"8","Q9Y3C8",1930.4,1902.7,1815.2,1822.6,5345.8,4715.2,4574.6,5631.1,3880.5,3647.7,4097.1,4337.3,3209.3,3090.1,2985.2,2514.2,"Ubiquitin-fold modifier-conjugating enzyme 1 OS=Homo sapiens OX=9606 GN=UFC1 PE=1 SV=3",0.361105914923865,0.355924277002507,0.33955628717872,0.34094055146096,1867.725,57.5805160912381,0.725896965842344,0.682348759774028,0.766414755508998,0.811347225859553,3990.65,295.096340200959,0.600340454188335,0.578042575479816,0.558419693965356,0.470313143028172,2949.7,304.425590251542,1,0.882038235624228,0.855737214261663,1.05336899996259,5066.675,504.036647973141,0.36862932791229,0.787626994034549,0.582176674051523,0.739152769598937,1.57930102129596,0.582176674051523,2.13663681751864,0.787626994034549,0.36862932791229,5.78233623205193e-08,5.23843774735688e-06,0.00281645407250497,0.00293977419656899,5.39547685296515e-06,0.00378975500017598,"Up in MCF7","Up in MDAMB231","Up in MCF10A","Up in MCF7","Up in MCF10A","Up in MCF10A"
"9","Q16555",11256.6,11232.6,10752,12878.7,29884.6,28717.1,32086.1,30938.8,13087.5,13504.4,12371.7,12323.4,25427.7,27233.4,24996.8,33923.8,"Dihydropyrimidinase-related protein 2 OS=Homo sapiens OX=9606 GN=DPYSL2 PE=1 SV=1",0.37666891977808,0.37586583056156,0.359783969000756,0.430947712199594,11529.975,928.703398561672,0.437934588383315,0.451884917315273,0.413982452500619,0.412366235452373,12821.75,573.73972321951,0.850862986287252,0.911285411215141,0.836444188645657,1.13515991514024,27895.425,4134.05675688743,1,0.960933055821393,1.07366670459032,1.03527569383562,30406.65,1441.16287883547,0.379192545051823,0.421675850512963,0.917411980602927,2.17563320139607,2.41938295616426,0.917411980602927,1.1120362359849,0.421675850512963,0.379192545051823,2.98380738117388e-07,0.848683297537018,1.42683292736479e-06,6.52514874355248e-07,0.427798503486316,3.44492193127266e-06,"Up in MDAMB231","Up in MDAMB231","ns","ns","Up in MCF10A","Up in MCF10A"
"10","P08670",43372.2,42283.5,38957.4,57949.1,300490,231415.8,285933.2,315430.3,67717.2,72523.7,57514.7,63270.7,304913.5,257073.9,226383.8,176466.6,"Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4",0.144338247529036,0.140715165230124,0.12964624446737,0.192848680488535,45640.55,8417.84005253129,0.225355918666179,0.241351459283171,0.191403041698559,0.210558421245299,65256.575,6396.51230977998,1.01472095577224,0.855515657758994,0.753382142500582,0.587262804086658,241209.45,53917.6015918426,1,0.770128124064029,0.951556457785617,1.04971979100802,283317.325,36636.7530827879,0.161093395894515,0.230330337193463,0.851375573308127,3.6963240868832,5.28498122831561,0.851375573308127,1.42979379082855,0.230330337193463,0.161093395894515,1.55129561318912e-06,0.834496701720708,1.21690534755636e-05,3.89855763138769e-06,0.318332462023859,3.55584344813309e-05,"Up in MDAMB231","Up in MDAMB231","ns","ns","Up in MCF10A","Up in MCF10A"
